id_cliente,nome_cliente,cpf,sexo,cidade,estado,id_tipo_cliente
1,Brenda Alves,438.150.926-98,Feminino,Ji-Paraná,RO,1
2,Arthur Borges,390.416.875-48,Masculino,Cariacica,ES,1
3,Lara Abreu,265.917.803-86,Feminino,Normandia,RR,1
4,Aylla Fogaça,540.938.716-39,Masculino,Maceió,AL,1
5,Laís Pires,953.806.174-84,Masculino,Pedro II,PI,1
6,Carlos Eduardo Garcia,475.128.693-55,Feminino,São Leopoldo,RS,1
7,Dra. Ana Sophia Pereira,283.175.940-41,Masculino,Niterói,RJ,2
8,Lunna Vargas,039.628.574-00,Feminino,Lagarto,SE,2
9,Luara Cunha,769.128.453-55,Feminino,Anápolis,GO,1
10,Dra. Mariane Pacheco,653.147.082-80,Feminino,Parintins,AM,1
11,Emanuel Vieira,619.347.250-99,Masculino,Paranaíba,MS,1
12,Bruna Rodrigues,845.023.196-51,Feminino,Jaraguá do Sul,SC,2
13,Dra. Julia Montenegro,281.659.703-21,Feminino,Vitória do Jari,AP,1
14,Vitor Hugo Vasconcelos,805.397.214-41,Masculino,Nova Iguaçu,RJ,2
15,Isaque Nunes,197.604.853-20,Masculino,Alto Alegre,RR,2
16,Eloah da Luz,863.451.297-55,Feminino,Vila Velha,ES,1
17,Stella Machado,138.026.954-70,Feminino,Rolim de Moura,RO,1
18,Brayan Santos,031.926.785-77,Masculino,Planaltina,DF,2
19,Vitor Hugo Cardoso,973.685.102-86,Masculino,Parnamirim,RN,2
20,Marina Fogaça,697.850.431-93,Masculino,Maranguape,CE,1
21,Sra. Bianca da Cruz,397.186.240-31,Masculino,Bonfim,RR,2
22,Pedro Miguel Novaes,108.795.342-14,Feminino,Vitória,ES,2
23,Murilo Araújo,260.398.514-06,Feminino,Aparecida de Goiânia,GO,1
24,Gabriel da Rocha,308.527.461-80,Feminino,Guará,DF,1
25,Vitória Castro,081.679.423-50,Feminino,Itabuna,BA,1
26,Bárbara Nunes,301.954.278-23,Feminino,Balneário Camboriú,SC,1
27,Luara da Costa,462.587.310-07,Masculino,Corumbá,MS,3
28,Raul Pinto,918.476.205-58,Masculino,União,PI,1
29,Joaquim Freitas,427.698.051-85,Feminino,Itacoatiara,AM,2
30,Bella Carvalho,418.597.260-11,Feminino,Mossoró,RN,1
31,Sra. Gabrielly Rodrigues,487.205.319-23,Masculino,Floriano,PI,3
32,Lucas Gabriel Vargas,249.538.670-92,Feminino,Rorainópolis,RR,2
33,Breno Sales,280.694.137-78,Feminino,Estância,SE,1
34,Leandro Fonseca,053.819.276-30,Feminino,Maranguape,CE,1
35,Daniela da Costa,296.018.347-96,Masculino,Picos,PI,2
36,Emanuel Viana,160.839.452-24,Masculino,Cacoal,RO,2
37,Ian Câmara,036.279.518-59,Masculino,Juazeiro,BA,2
38,Zoe Farias,014.872.936-31,Masculino,Ceará-Mirim,RN,2
39,Dr. Pedro Henrique Pereira,816.492.075-49,Masculino,Ponta Porã,MS,1
40,Vicente Nascimento,356.082.497-47,Feminino,São Gonçalo,RJ,1
41,Sra. Sofia das Neves,659.824.103-06,Masculino,Araguaína,TO,3
42,Maria Helena Rocha,246.809.751-30,Masculino,Ilhéus,BA,3
43,Luna Martins,793.481.062-87,Feminino,Formosa,GO,3
44,Isaac Rocha,438.105.679-57,Masculino,Recanto das Emas,DF,2
45,Maria Vitória Pires,936.871.420-78,Feminino,Santa Maria,RS,1
46,Otávio Câmara,287.041.653-90,Masculino,Guarabira,PB,2
47,Vitória Novais,957.486.321-28,Masculino,Vila Velha,ES,1
48,Renan Machado,439.678.152-00,Masculino,Nova Iguaçu,RJ,1
49,João Pedro da Costa,458.901.673-75,Feminino,Vila Velha,ES,3
50,Srta. Hadassa Azevedo,695.437.081-93,Feminino,Vitória do Jari,AP,1
51,Alícia Teixeira,967.025.318-77,Feminino,Recanto das Emas,DF,1
52,Hellena da Mata,670.329.148-96,Masculino,São Mateus,ES,2
53,Yasmin Alves,601.537.982-03,Feminino,Parintins,AM,2
54,Mateus Duarte,375.296.810-95,Masculino,Abaetetuba,PA,2
55,Allana Souza,805.179.432-04,Feminino,Rorainópolis,RR,1
56,Antônio Pinto,239.850.167-12,Masculino,Campinas,SP,1
57,Sr. Danilo Vasconcelos,241.809.375-14,Masculino,Colombo,PR,1
58,Joaquim Caldeira,410.293.678-50,Masculino,Trindade,GO,1
59,Otto Mendonça,165.739.804-84,Masculino,Guarabira,PB,1
60,Zoe Vasconcelos,796.854.210-30,Feminino,Oiapoque,AP,1
61,João Lucas Machado,376.209.851-40,Masculino,Caruaru,PE,3
62,Luiz Gustavo da Luz,548.706.192-02,Feminino,Itapipoca,CE,1
63,Sra. Rebeca Novais,378.905.241-88,Feminino,Trindade,GO,1
64,Srta. Lorena Ribeiro,957.462.381-55,Masculino,Camaçari,BA,1
65,Dr. João Gabriel das Neves,431.572.098-41,Feminino,Volta Redonda,RJ,1
66,Henrique Sousa,748.012.536-44,Masculino,Maceió,AL,2
67,Anthony Gabriel Santos,824.067.935-83,Masculino,Delmiro Gouveia,AL,1
68,Rebeca Caldeira,047.362.195-99,Masculino,Amapá,AP,1
69,Bruna Azevedo,671.450.893-00,Masculino,Várzea Grande,MT,3
70,Josué Campos,863.947.512-19,Masculino,Macaé,RJ,1
71,Mariane das Neves,901.675.238-21,Feminino,Altamira,PA,2
72,Isaque Cavalcanti,812.035.496-60,Feminino,Rio Verde,GO,2
73,João Pedro Santos,471.582.630-53,Feminino,Linhares,ES,1
74,Heloisa Ramos,249.061.738-96,Masculino,Sousa,PB,3
75,Camila Martins,469.783.502-65,Masculino,Plácido de Castro,AC,2
76,Luna Pereira,401.759.826-94,Feminino,Vitória do Jari,AP,1
77,Ana Cecília Teixeira,278.914.365-09,Masculino,Juazeiro,BA,3
78,Ravy Ferreira,658.701.243-44,Feminino,Ponta Porã,MS,1
79,Murilo Teixeira,807.925.461-30,Feminino,Currais Novos,RN,1
80,Agatha Ribeiro,876.014.235-90,Masculino,Rorainópolis,RR,3
81,Melina Teixeira,034.712.865-35,Masculino,Aparecida de Goiânia,GO,3
82,Arthur Pires,932.740.856-00,Feminino,Luziânia,GO,2
83,Ravi Campos,274.859.316-28,Feminino,Planaltina,DF,2
84,Rafael Novaes,263.481.059-89,Feminino,Arapiraca,AL,2
85,Dr. Alexandre da Paz,472.396.815-64,Masculino,Maceió,AL,1
86,Luna Correia,369.870.251-77,Feminino,Cacoal,RO,1
87,Sra. Maria Isis Ribeiro,270.145.986-94,Masculino,Foz do Iguaçu,PR,2
88,Vinicius Marques,026.751.948-67,Feminino,Laranjal do Jari,AP,2
89,Dr. Bruno Farias,865.793.024-29,Masculino,Volta Redonda,RJ,1
90,João Pedro da Conceição,169.850.347-48,Masculino,União dos Palmares,AL,1
91,Augusto Duarte,045.231.867-07,Masculino,Corumbá,MS,2
92,Emilly Cavalcante,216.458.390-60,Feminino,Aquidauana,MS,3
93,Ravi Porto,479.503.286-65,Masculino,Parnamirim,RN,3
94,Pedro Miguel Ferreira,946.523.701-99,Masculino,Juazeiro do Norte,CE,3
95,Bianca da Costa,654.820.317-80,Feminino,Crato,CE,2
96,Ana Julia Pereira,743.821.659-46,Masculino,São Bernardo do Campo,SP,1
97,Cecilia Pires,104.638.257-80,Masculino,Cuiabá,MT,3
98,Juan Duarte,623.148.509-98,Masculino,Guará,DF,1
99,Laís Souza,517.089.324-88,Feminino,Vitória,ES,2
100,Miguel Albuquerque,481.325.697-09,Feminino,Betim,MG,3
101,Igor Melo,085.419.327-88,Feminino,Aquidauana,MS,1
102,Maria Luísa Camargo,208.937.456-00,Feminino,Cruzeiro do Sul,AC,3
103,Mirella Freitas,862.350.971-40,Feminino,Quixadá,CE,3
104,Arthur Gabriel Sales,537.812.049-79,Feminino,Arapiraca,AL,2
105,Maria Alice Araújo,643.079.128-96,Masculino,Chapecó,SC,1
106,Lucas Gabriel da Cruz,231.647.508-62,Masculino,Barra do Garças,MT,1
107,Alexandre da Mota,294.610.738-87,Masculino,Viamão,RS,1
108,Sr. Lorenzo Almeida,240.153.798-88,Feminino,Nova Andradina,MS,1
109,Melissa Vasconcelos,581.347.029-88,Masculino,Ceará-Mirim,RN,2
110,Ana Araújo,768.503.492-10,Feminino,Criciúma,SC,2
111,Sr. Benício Cardoso,485.397.216-19,Masculino,Uberaba,MG,2
112,Danilo Rezende,836.917.254-73,Feminino,Sobradinho,DF,2
113,Aylla Dias,654.213.079-99,Feminino,Caracaraí,RR,2
114,Pedro Brito,520.469.837-00,Feminino,Primavera do Leste,MT,2
115,Maria Rios,604.725.893-00,Feminino,Timon,MA,1
116,Rodrigo Câmara,158.024.936-15,Masculino,Cabedelo,PB,1
117,Juliana Alves,248.960.173-31,Masculino,União,PI,2
118,Diego Sousa,013.765.298-40,Feminino,Rorainópolis,RR,1
119,Luan Vasconcelos,910.864.723-22,Masculino,Oiapoque,AP,2
120,Pedro Miguel Ribeiro,678.321.045-62,Masculino,São Bernardo do Campo,SP,1
121,João Miguel Rocha,974.013.682-69,Masculino,São Mateus,ES,2
122,Heitor Vargas,248.905.361-24,Masculino,Cajazeiras,PB,3
123,Davi Lucca Garcia,835.096.741-20,Masculino,Viamão,RS,2
124,Levi Oliveira,698.203.514-05,Masculino,Salvador,BA,3
125,Natália Sales,516.708.324-90,Feminino,Tobias Barreto,SE,1
126,Anna Liz Gonçalves,453.210.967-16,Masculino,Delmiro Gouveia,AL,1
127,Dr. Diogo da Costa,124.967.580-49,Feminino,Santa Rita,PB,2
128,Thales Martins,975.682.130-21,Feminino,Simão Dias,SE,2
129,Melina Pires,490.287.613-22,Masculino,Dianópolis,TO,1
130,Benjamin Freitas,418.965.370-57,Masculino,Jaraguá do Sul,SC,2
